,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
439,rpfpostbikaner,,"Rajasthan, India",19,385,242,0,Smoking in trains and carriage of inflammable materials across #IndianRailways is a punishable offence and a… https://t.co/LgIHHwWbzY,"['IndianRailways', 'FireHazard']"
440,PreventiveBot,Created by Doctor @KrittanawongMD. A bot that collects Tweets about preventive medicine. Learn the secrets to living the longest and healthiest life possible!!,,0,60,3975,0,Cigarette smoking is dangerous to your health...and costs you more money in more ways than what you (unnecessarily)… https://t.co/nCZDVbIiVw,[]
441,mikesaycon,"Cigarettes are dangerous to your health. And to others, too, especially children. (Views, opinions and retweets are my own, not of my employer or parents.)","Geneva, Switzerland",774,685,2520,1,Cigarette smoking is dangerous to your health...and costs you more money in more ways than what you (unnecessarily)… https://t.co/nCZDVbIiVw,[]
442,miscx,"Interests: complex systems architecture, Networks, Info-Modeling, Bio-Technology and Eco-Sustainability. I tweet Truth vs Lies
https://t.co/a08Tb0CYnf","Sydney, AU",275,338,5391,0,"""There is moderate-certainty evidence that Electronic cigarettes with nicotine increase quit rates compared to Elec… https://t.co/H2rNE91IxR",[]
443,imaracingmom,"DSP @ group home. Advocate for equity, justice, freedom, and kindness. We can all do things to make the world a better place. Keeper of the family tree.","Minnesota, USA",3333,2133,29363,0,"""There is moderate-certainty evidence that Electronic cigarettes with nicotine increase quit rates compared to Elec… https://t.co/H2rNE91IxR",[]
444,VapinXsmoker,"Vape Advocate
Stand up for your Rights!
#vapingsaveslives
#BlackLivesMatter",🇺🇸,7955,20250,83172,0,"""There is moderate-certainty evidence that Electronic cigarettes with nicotine increase quit rates compared to Elec… https://t.co/H2rNE91IxR",[]
445,Josephmagero,Tobacco Harm Reductionist @GoingSmokefree | INNCO Outstanding Advocate of 2019 | Bias for Snus | 📖 🖋Master of Public Policy | http://medium.com/@josephmagero,Kenya,808,1269,9792,0,"""There is moderate-certainty evidence that Electronic cigarettes with nicotine increase quit rates compared to Elec… https://t.co/H2rNE91IxR",[]
446,THRKenya,We disseminate information on smoking associated harms & scientifically proven tobacco harm reduction strategies,Kenya,420,9063,852,0,"""There is moderate-certainty evidence that Electronic cigarettes with nicotine increase quit rates compared to Elec… https://t.co/H2rNE91IxR",[]
447,GoingSmokefree,Advocating for tailor-made solutions to end smoking in Africa🚭 | Join us in demanding Africa's 77 million smokers gain access to lower-risk alternatives,Africa,683,1260,5456,5,"""There is moderate-certainty evidence that Electronic cigarettes with nicotine increase quit rates compared to Elec… https://t.co/H2rNE91IxR",[]
448,MXBravo4,"Came for the Snydercut, stayed for David Ayer‘s dog and cat Tweets 💜 I make music videos - follow me on  VERO",Sky City,43,91,4804,0,@SmallScreenCo The Reeves/Pattinson Batman should have been a 40s period piece - would have made a lot of things a… https://t.co/W43qxifOXE,[]
449,PreventiveBot,Created by Doctor @KrittanawongMD. A bot that collects Tweets about preventive medicine. Learn the secrets to living the longest and healthiest life possible!!,,0,60,3975,0,"We know you really care about your family, and we are here to help you to help them. Order 2baconil therapy today a… https://t.co/XFraVuVbWp",[]
450,2baconil,"2baconil is India's first 24 hour Nicotine Transdermal Patch, which serves as an aid to Quit Smoking / Chewing Tobacco.",India,432,1124,5344,1,"We know you really care about your family, and we are here to help you to help them. Order 2baconil therapy today a… https://t.co/XFraVuVbWp",[]
451,upscinstaa,"📖| ONLY FOR SERIOUS ASPIRATIONS

🌍| #1 SOURCE FOR DAILY NEWS FOR &  
     | CURRENT AFFAIRS

📢| FOLLOW US TO GET INSTANT UPDATES

🇮🇳| DREAM TO SERVE NATION",,117,11,586,0,"Bhutan is the only country in the world to ban the sale of tobacco 👏

Follow @upscinstaa for important updates 🔥… https://t.co/oP5iwsYmzY",[]
452,UKECIGSTORE,UK's Online vape supplier + 9 E-cigarette and E-liquid Retail stores across London. 18+ Only. #UKECIGSTORE,"London, England",1222,7685,8245,0,"Wondering how to get the best out of your coils? 
👇👇👇
https://t.co/pOqGrwktze

#vape #vaping #vapelife #vapeporn… https://t.co/M3c2k19nxx","['vape', 'vaping', 'vapelife', 'vapeporn']"
453,PlaytimeCares,"Healing with laughter & care. #Blogger #Vlogger #Foodie #Spokesperson #DadBlogger

Media & Social #Influencer

https://linktr.ee/Playtimecares","Houston, TX",1463,1420,14274,0,"#ihatetheinternet #WhoDidThis 

#PTCares #vlogger #vlog #blogger #blog #humor #funny #lol #lmao #lmbo #IHTI… https://t.co/BwUWE3QrGa","['ihatetheinternet', 'WhoDidThis', 'PTCares', 'vlogger', 'vlog', 'blogger', 'blog', 'humor', 'funny', 'lol', 'lmao', 'lmbo', 'IHTI']"
