,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
224,i_qosos,みんな目を覚まして！電子タバコ・加熱式タバコは 人体実験の一貫です。アメリカでは、危険過ぎて認められていない。発癌性・奇形児出産率が高まります。今すぐ、やめて🚬絶対に 人が直接 口から吸引して 安全なものではないです。受動喫煙症レベル４ 新型タバコによる化学物質過敏症→✨危険物質感知症✨,,290,191,6548,0,"まあ、生存権のようなもんだ。
侵害してるヤツには分からんだろうな( ͡° ͜ʖ ͡°)
#smokingkills
#人の時を奪う
#受動喫煙に反対します https://t.co/kJxY6iC6I8","['smokingkills', '人の時を奪う', '受動喫煙に反対します']"
225,bellafigura64,"eclectic & sometimes obsessive: music, art, poetry, politics(current focus on #vape), environment; #StevieNicks...but I mostly tweet about #days #dool #jnj #cin",Forest of the Black Roses,2017,1665,42457,0,@TomDaviesIND @IndianaChamber Don't you think you collected enough tax from smoker's? Now that they quit using… https://t.co/NtcYhv4hIq,[]
226,RMaachana,"#Humanity1st 
CompassionNext.
#Thee with Me
DT CA,F&CS 
#NationalHandloomDay
20yrs @ #TobaccoControll
#WorldNoToTobaccoDay
#TobaccoFreeIndia
#NPS_QUIT_INDIA","Medchal, India ",671,301,3757,0,@KPR_India Thanq dear sir. Liquor a habit but  Tobacco an addiction. No one carry daaru in packets like gutkha pan… https://t.co/98eArDI3n9,[]
227,TakeAPartNow,A global movement fighting for a tobacco-free future by standing against the tobacco industry as it targets the world’s most vulnerable people. #TobaccoFreePage,,163,7946,4271,0,"Regardless of #CigaretteIndustry claims, #cigarette packaging is an important marketing tool and research shows tha… https://t.co/BXVm4TavFI","['CigaretteIndustry', 'cigarette']"
228,terminate_ct,受動喫煙のない社会にしたいです。昔から受動喫煙に苦しんできました。改善の遅さに失望する毎日。賛同して下さる方相互フォローお願いします🤲,,701,709,7057,3,"まあ、生存権のようなもんだ。
侵害してるヤツには分からんだろうな( ͡° ͜ʖ ͡°)
#smokingkills
#人の時を奪う
#受動喫煙に反対します https://t.co/kJxY6iC6I8","['smokingkills', '人の時を奪う', '受動喫煙に反対します']"
229,tunaBASStuna,つなまよです。ずん、と呼ばれたりもする カメラの人だったりバンドマンだったり。弾いたり歌ったりしてます bass Fender，WEAVER ，Canon，猫カフェ店員，関東，ONE PIECE熱がすんごい,,292,133,1610,0,"今季最後のセットアップでした
また秋口に着よう
@9090_store 
#smokingkills https://t.co/7MwnCoKxPH",['smokingkills']
230,biznoriboi,All data is taken from some other pages or directly from actress pages sometimes I know sometimes I don't so in case if you have any removal issue so tell me.,India,55,1205,2449,1,"@raimasen #smokingkills smoking kills me later first you, your cuteness &amp; charm will definitely. love you girl… https://t.co/KVA2Q1tzvn",['smokingkills']
231,twizzlers4me,"Mom, nurse, popcorn, twizzler and trivia fan","Nova Scotia, Canada",149,50,1013,0,"As a physician, literally hundreds of times: 

? have you thought of quitting because #smokingkills  - ""Nah!"" 

vs… https://t.co/RYZTjU2uoC",['smokingkills']
232,digital35mm,"Photographer , networks on my website. IG: digital35mm","Manchester,UK",268,258,7112,0,@benoistfiles #smokingkills,['smokingkills']
233,vashishtvp,"Working as Senior Engineer in Railway's production unit.
कोई हाथ भी न मिलाएगा जो गले मिलोगे तपाक से
ये नए मिज़ाज का शहर है ज़रा फ़ासले से मिला करो
शायर बशीर बद्","Kapurthala, Punjab - INDIA",2124,1933,123015,0,"#NPS_QUIT_INDIA 
#TobaccoFreeIndia

For STRESS buster few #Smoke 
Later get Tension of #SmokingKills… https://t.co/KPSLqB5Yvo","['NPS_QUIT_INDIA', 'TobaccoFreeIndia', 'Smoke', 'SmokingKills', 'NewPensionScheme']"
234,ca_brou,"Respiratory therapist, anesthesia assistant and mom of 2!","Halifax, Nova Scotia",75,59,82,0,"As a physician, literally hundreds of times: 

? have you thought of quitting because #smokingkills  - ""Nah!"" 

vs… https://t.co/RYZTjU2uoC",['smokingkills']
235,ReddVapes,,,243,58,28,0,One way to #TakeDownTobacco is get a smoker a starter kit and some flavored eliquid. Doesn’t matter if it’s a frien… https://t.co/msX0HQ33FC,['TakeDownTobacco']
236,robyn_doucet,"Anesthesiologist with an interest in Medical Education, Postgraduate Program Director @Dal_Anesthesia and Wife and Mom of 2 #MedEd #Anes Pronouns: she/her","Halifax, NS",483,933,679,0,"As a physician, literally hundreds of times: 

? have you thought of quitting because #smokingkills  - ""Nah!"" 

vs… https://t.co/RYZTjU2uoC",['smokingkills']
237,AnaSjaus,"anesthesiologist @IWKHealthCentre @Dal_Anesthesia, echocardiography nerd, dog lover, views are my own","Halifax, Nova Scotia",121,162,599,3,"As a physician, literally hundreds of times: 

? have you thought of quitting because #smokingkills  - ""Nah!"" 

vs… https://t.co/RYZTjU2uoC",['smokingkills']
238,JayendraDodiya6,"i am a primary teacher. i want only ops
#ops #nps go back",,1530,416,10297,0,"#NPS_QUIT_INDIA 
#TobaccoFreeIndia

For STRESS buster few #Smoke 
Later get Tension of #SmokingKills… https://t.co/KPSLqB5Yvo","['NPS_QUIT_INDIA', 'TobaccoFreeIndia', 'Smoke', 'SmokingKills', 'NewPensionScheme']"
239,realaloksharma,Thoughts,,12,17,32,0,"✍️
 #minimalist #IPL2021 #smokingkills https://t.co/enoPTSBQQQ","['minimalist', 'IPL2021', 'smokingkills']"
240,codeeffort,India's #1 cigarette waste management and recycling company with a range of by-products.,"Noida, India",35,215,195,0,"https://t.co/J7jlR2XgK1
.
Download (Android): https://t.co/bq4S8dMveM
.
Download (IOS): https://t.co/OamnNLJdUZ
.… https://t.co/8HUNqwtQli",[]
241,my_foodexp,"🥗Stay_Fit_Stay_Healthy🥗
🍜Healthy_Lifestyle😋🍛💪
Pregnancy_Care 
Babay_Care
Check- http://maexperience.in",New delhi,62,7,203,0,"Quit Smoking | How to Help Someone to Quit Smoking |https://t.co/7ZZeNktXiu
Tags:
#stopsmokingstartliving… https://t.co/fnd5kXKc17",['stopsmokingstartliving']
242,MrWallpaper3,Cinemateographer,,6,6,9,0,"עישון הורג
""SMOKING KILLS""
Smoking can cause obstruction and narrowing in your arteries, which means less blood and… https://t.co/NzIiB4V3XI",[]
243,BeJohnEubanks,"I'm inspired by the selfless sacrifices of others, particularly my stepdad Fred Mooney ('Nam KIA/BNR, '71). *You Are Not Forgotten*
(2 Timothy 4:7)",Deep in a part of Texas,11,128,16237,0,"@KathYoung10 @DanCrenshawTX As a sidenote: 

Until more folks take responsibility for their health, you can have al… https://t.co/FbxX4tPazc",[]
244,RMaachana,"#Humanity1st 
CompassionNext.
#Thee with Me
DT CA,F&CS 
#NationalHandloomDay
20yrs @ #TobaccoControll
#WorldNoToTobaccoDay
#TobaccoFreeIndia
#NPS_QUIT_INDIA","Medchal, India ",671,301,3757,0,"2 #tobacco Put an End
On this Weekend

B4 #Thambaku C Ur End

From Ur end
#GoodNews this Pl Send

Let's Wish 2 C… https://t.co/pA6nHLz2oK","['tobacco', 'Thambaku', 'GoodNews']"
245,RMaachana,"#Humanity1st 
CompassionNext.
#Thee with Me
DT CA,F&CS 
#NationalHandloomDay
20yrs @ #TobaccoControll
#WorldNoToTobaccoDay
#TobaccoFreeIndia
#NPS_QUIT_INDIA","Medchal, India ",671,301,3757,1,"2 #tobacco Put an End
On this Weekend

B4 #Thambaku C Ur End

From Ur end
#GoodNews this Pl Send

Let's Wish 2 C… https://t.co/pA6nHLz2oK","['tobacco', 'Thambaku', 'GoodNews']"
246,TiloO39066731,,,19,1,29,0,"@TiloJung #zerocancer 
#cancerkills #smokingkills #smokingsucks
😉😂","['zerocancer', 'cancerkills', 'smokingkills', 'smokingsucks']"
247,takuya_kamakura,"""sneaker""""#FR2""""supreme""""SAPEur"" ""off-white""""nike""""jordan""""TNB""",長野 松本市,28,0,146,0,"FR2 DOKO? IN SUWA
欲しかったコラボアイテムも限定商品も買えてマジでよかった🐇
必殺、嘘葬式使って仕事半休取った甲斐があった😭
来週から真面目に働きますw
#FR2DOKO 
#FR2… https://t.co/Rw0jkYPmLq","['FR2DOKO', 'FR2']"
248,MileanArts,#Mileanarts - Colours from three generations #art #animation #Music #food #education #health #videocreative #Homoeopathy #Medicine #Agriculture,"Kozhikode, India",251,32,980,0,"#SMOKINGKILLS #Healthawarness #education #Visualeffects #DrBenezerLatheef #MileanArts # VFx
https://t.co/CtlTKIKdsq","['SMOKINGKILLS', 'Healthawarness', 'education', 'Visualeffects', 'DrBenezerLatheef', 'MileanArts']"
249,absrajan,"•Views expressed are personal
•RTs not endorsement","Vishakhapatnam, India",196,695,45373,0,"How much may v earn. 
If #SmokingKills couid not make 2 learn
#coronavirus giving pain
Pl don't #Smoke again
Concen… https://t.co/mv30sxNzcY","['SmokingKills', 'coronavirus', 'Smoke']"
250,inokigenome123,闘魂、燃え尽きるまで。残り少ない人生、自分なりに生きようと思います。老害の戯言。元木大介、仁志敏久、岡崎朋美世代。一応アニメ、ゲーム、スポーツ好きのにわか。２０２０年５月２２日に交通事故で骨折。１１月２１日リハビリ終了。ツイ消し気味。無言フォロー失礼します。マメじゃないです。絡みないです。リムる、ミュート推奨。低浮上。,大阪府,836,604,6742,0,"@NTS931184 社会の力でタバコをなくそう。

それまでは密閉された空間で喫煙して欲しい。

できないなら即販売を中止するべき。

#smokingkills
#人の時を奪う
#受動喫煙に反対します","['smokingkills', '人の時を奪う', '受動喫煙に反対します']"
251,kikenkikenkike,元喫煙者 電子、加熱タバコ過敏症毎日 し○そうです。,日本 東京,310,161,6188,0,"@NTS931184 社会の力でタバコをなくそう。

それまでは密閉された空間で喫煙して欲しい。

できないなら即販売を中止するべき。

#smokingkills
#人の時を奪う
#受動喫煙に反対します","['smokingkills', '人の時を奪う', '受動喫煙に反対します']"
252,yh9kviO9vkk6Zdt,"2020年4月頃から、マンション近隣室喫煙により心身に害を受けています。
賃貸人・管理会社に蔑ろにされている被害者が、法的に守られる世の中に一歩でも近づきますように。

喫煙者は先ずニコチン依存症を治してください。
話すのはそれからです。

※誤字脱字・誤変換多し　ご容赦",札幌,233,181,3139,0,"@ugisu777 @aquariousblue @nakomypace @sannohe_aya @JuREQ0dPgPIQwe5 さすが自己満リア充なだけはある言葉だな。
#smokingkills
#人の時を奪う
#受動喫煙に反対します","['smokingkills', '人の時を奪う', '受動喫煙に反対します']"
253,yh9kviO9vkk6Zdt,"2020年4月頃から、マンション近隣室喫煙により心身に害を受けています。
賃貸人・管理会社に蔑ろにされている被害者が、法的に守られる世の中に一歩でも近づきますように。

喫煙者は先ずニコチン依存症を治してください。
話すのはそれからです。

※誤字脱字・誤変換多し　ご容赦",札幌,233,181,3139,0,"@NTS931184 社会の力でタバコをなくそう。

それまでは密閉された空間で喫煙して欲しい。

できないなら即販売を中止するべき。

#smokingkills
#人の時を奪う
#受動喫煙に反対します","['smokingkills', '人の時を奪う', '受動喫煙に反対します']"
